Accession	Tolid	Species	# scaffolds	Total scaffold length	Average scaffold length	Scaffold N50	Scaffold auN	Scaffold L50	Largest scaffold	Smallest scaffold	# contigs	Total contig length	Average contig length	Contig N50	Contig auN	Contig L50	Largest contig	Smallest contig	# gaps in scaffolds	Total gap length in scaffolds	Average gap length in scaffolds	Gap N50 in scaffolds	Gap auN in scaffolds	Gap L50 in scaffolds	Largest gap in scaffolds	Smallest gap in scaffolds	Base composition (A:C:G:T)	GC content	# soft-masked bases	# segments	Total segment length	Average segment length	# gaps	# paths
GCA_028858775.2	mPanTro3	Pan troglodytes	25	3177739762	127109590.5	146288486	146132230	9	231299448	36447294	30	3172739762	105757992.1	146288486	145701641	9	231299448	1222408	5	5000000	1000000	1000000	1000000	3	1000000	1000000	945788161:647621999:639501015:939828587	40.57	1322542809	30	3172739762	105757992.1	5	25
GCA_029289425.3	mPanPan1	Pan paniscus	31	3244905268	104674363.5	147028407	148058124.4	9	227705052	16560	37	3239870268	87564061.3	147028407	147607449.9	9	227705052	16560	6	5035000	839166.67	1000000	993291.96	3	1000000	35000	972551433:659642974:650396336:957279525	40.43	1381846802	37	3239870268	87564061.3	6	31
GCA_029281585.3	mGorGor1	Gorilla gorilla	26	3545850631	136378870.4	150804130	158682750.6	10	243847345	16407	28	3543850631	126566094	150804130	158555828.2	10	243847345	16407	2	2000000	1000000	1000000	1000000	1	1000000	1000000	1052156165:723071874:711787386:1056835206	40.49	1674795142	28	3543850631	126566094	2	26
GCA_028885655.2	mPonAbe1	Pongo abelii 	29	3259853530	112408742.4	146197178	148699323.5	9	233795519	115212	40	3251792274	81294806.85	146197178	147232458.6	9	233652841	77701	11	8061256	732841.45	1000000	992682.11	5	1000000	5000	959799278:667931815:661499209:962561972	40.88	1376295108	40	3251792274	81294806.85	11	29
GCA_028885625.2	mPonPyg2	Pongo pygmaeus	25	3220935163	128837406.5	143261986	147085829	9	230807400	49419398	33	3212935163	97361671.61	140592248	145969953.6	9	230807400	1283277	8	8000000	1000000	1000000	1000000	4	1000000	1000000	948523909:659556720:653821402:951033132	40.88	1338871812	33	3212935163	97361671.61	8	25
GCA_028878055.3	mSymSyn1	Symphalangus syndactylus	27	3262904223	120848304.6	146713733	135678961.7	11	167654734	16515	28	3261904223	116496579.4	146713733	135617642.7	11	167654734	16515	1	1000000	1000000	1000000	1000000	1	1000000	1000000	970402456:660291668:658228743:972981356	40.42	1483711519	28	3261904223	116496579.4	1	27
GCA_037993035.1	T2T-MFA8v1.0	Macaca fascicularis	22	3042930936	138315042.6	162126771	158335300	8	234122563	16561	22	3042930936	138315042.6	162126771	158335300	8	234122563	16561	0	0	0	0	0	0	0	0	895761531:624062284:624977314:898129807	41.05	1221896770	22	3042930936	138315042.6	0	22
GCA_043159975.1	mMacNem1	Macaca nemestrina	362	3116305216	8608577.94	154799650	154004014.8	9	233354531	12482	622	3116259816	5010064.01	40835442	45178576.26	24	123176650	11874	260	45400	174.62	200	185.46	114	200	100	918341527:639287429:639756411:918874449	41.04	1279410146	622	3116259816	5010064.01	260	362
GCA_049354715.1	mCalJac2	Callithrix jacchus	24	2933409465	122225394.4	141933726	145399576.4	9	220781134	15860301	27	2933238032	108638445.6	137132494	140629843.7	9	220781134	135793	3	171433	57144.33	100000	82502.66	1	100000	7500	867215630:598413356:599419833:868189213	40.84	1143654513	27	2933238032	108638445.6	3	24
GCA_048565385.1	mSaiBol1	Saimiri boliviensis	63	2747476440	43610737.14	129414808	152256899	8	302010752	16472	136	2747463640	20201938.53	69222429	76553852.62	13	163697774	16472	73	12800	175.34	200	185.94	32	200	100	810532957:563070190:563380085:810480408	41	1036518098	136	2747463640	20201938.53	73	63
GCA_027406575.1	mNycCou1	Nycticebus coucang	85	2917170805	34319656.53	135917784	128564701.8	10	196249132	1402	303	2913051299	9614030.69	41197715	44917637.45	23	108466239	1402	218	4119506	18896.82	609427	862243.99	2	1696687	13	861902907:594559867:594475490:862113035	40.82	1174049342	303	2913051299	9614030.69	218	85
GCA_020740605.1	mLemCat1	Lemur catta	185	2245601549	12138386.75	102162704	114059649.1	9	286674946	4724	395	2241959928	5675847.92	32529614	39535775.17	20	102401977	2355	210	3641621	17341.05	619577	675924.33	2	1306198	13	657410202:463387061:463910115:657252550	41.36	725797010	395	2241959928	5675847.92	210	185
GCA_027409185.1	mCynVol1	Cynocephalus volans	131	2814434834	21484235.37	165781880	165501678	7	304471933	16714	247	2814402334	11394341.43	69195939	84556919.3	12	229428798	16714	116	32500	280.17	200	343.08	35	500	200	840956119:566233776:566313867:840898572	40.24	1012723109	247	2814402334	11394341.43	116	131
GCA_028451465.1	mEreDor1	Erethizon dorsatum	116	2432147792	20966791.31	127995937	128012572.3	9	168646601	16828	393	2432078928	6188496	19239546	25655281.11	35	70129818	19	277	68864	248.61	380	339.53	70	500	10	716666559:498902583:498985218:717524568	41.03	811575751	393	2432078928	6188496	277	116
GCA_048771875.1	mCteGun2	Ctenodactylus gundi	535	2184404205	4082998.51	108787391	112938388.3	8	209091037	7689	652	2184385005	3350283.75	38834406	41132391.27	20	100330347	7689	117	19200	164.1	200	178.13	48	200	100	630182330:462532037:460978412:630692226	42.28	657130169	652	2184385005	3350283.75	117	535
GCA_963383645.1	mMusAve1	Muscardinus avellanarius	213	2497520702	11725449.31	119481734	133749910	8	239886027	1000	2018	2497159702	1237442.87	2432660	3087843.73	310	14310204	1000	1805	361000	200	200	200	903	200	200	727356951:521160388:520992196:727650167	41.73	1084122129	2018	2497159702	1237442.87	1805	213
GCA_902686455.2	mSciVul1.2	Sciurus vulgaris	639	2878607543	4504863.13	153872958	141946956.6	8	213194295	659	1816	2715248549	1495180.92	16327774	19062977.29	51	60449636	1	1177	163358994	138792.69	1022362	1376509.66	46	4737758	1	813947325:544157396:544103622:813040206	40.08	892482356	1816	2715248549	1495180.92	1177	639
GCA_902686445.2	mSciCar1	Sciurus carolinensis 	753	2815413801	3738929.35	148229995	134091414.9	8	208993527	10389	2577	2814809270	1092281.44	13975867	19131161.08	52	70386473	3804	1824	604531	331.43	500	438.09	605	500	28	843259201:563724980:564004408:843820681	40.06	939818722	2577	2814809270	1092281.44	1824	753
GCA_045843805.1	mUroPar1	Urocitellus parryii	2530	2935792869	1160392.44	184159334	161354800.3	7	284260672	10397	3224	2935664969	910566.06	23164455	29147716.89	33	87266425	1792	694	127900	184.29	200	191.48	320	200	100	879402403:588666197:587998024:879598345	40.08	959714283	3224	2935664969	910566.06	694	2530
GCA_964194105.1	mSpeCit3	Spermophilus citellus	498	3090049053	6204917.78	155990855	168060940.8	8	288966967	979	1934	3089761853	1597601.79	3445081	4094118.47	279	19865118	979	1436	287200	200	200	200	718	200	200	929732455:616820718:615876112:927332568	39.9	1271756052	1934	3089761853	1597601.79	1436	498
GCA_048772815.1	mCalLat2	Callospermophilus lateralis	8087	4646974320	574622.77	94176142	85300541.82	16	225145741	7432	9535	4646690800	487329.92	6579271	16713919.95	118	86968152	1	1448	283520	195.8	200	197.91	709	200	20	1404777508:918589308:917791351:1405532633	39.52	2448822300	9535	4646690800	487329.92	1448	8087
GCA_047511675.1	mMarFla1	Marmota flaviventris	814	2704668329	3322688.36	136846803	136251300.3	8	220842399	16442	1144	2704612429	2364171.7	52587502	53288071.02	17	127601862	7636	330	55900	169.39	200	181.93	140	200	100	812909476:539402391:539738052:812562510	39.9	930574901	1144	2704612429	2364171.7	330	814
GCA_903995435.1	mAcoRus1	Acomys russatus	623	2301522284	3694257.28	66475698	73419776.33	14	125099172	1017	1503	2293568115	1525993.42	4450755	6059590.58	145	27155307	196	880	7954169	9038.83	475642	1276001.83	3	3000000	2	659136629:487558836:487512765:659359885	42.51	730736567	1503	2293568115	1525993.42	880	623
GCA_947179515.1	mApoSyl1	Apodemus sylvaticus	498	2889801511	5802814.28	120938251	124090376.9	9	211764336	1000	1627	2889575894	1776014.69	4449850	5262913.71	199	17563194	1000	1129	225617	199.84	200	199.99	565	200	17	849791264:595779590:595519084:848485956	41.23	1155108734	1627	2889575894	1776014.69	1129	498
GCA_011762505.3	mArvNil1	Arvicanthis niloticus	1596	2496777707	1564397.06	82689117	89579362.11	11	167116563	1194	3220	2476488180	769095.71	11143170	17335939.53	56	90553658	37	1624	20289527	12493.55	198499	274958.99	29	950309	13	726396926:512695382:512254463:725141409	41.39	801270027	3220	2476488180	769095.71	1624	1596
GCA_015227675.2	mRatNor1	Rattus norvegicus	176	2647915728	15044975.73	135012528	147888080.2	8	260522016	746	757	2626580772	3469723.61	29198295	34606890.1	27	89387437	136	581	21334956	36721.09	268310	283005.51	26	660122	10	761705547:551469780:551505978:761899467	41.99	934089778	757	2626580772	3469723.61	581	176
GCA_963924665.1	mMicMin1	Micromys minutus	894	2651787409	2966205.16	59776753	77954610.84	14	261318752	1000	2914	2651383409	909877.63	1835000	2319141.82	443	11254030	1000	2020	404000	200	200	200	1010	200	200	794055195:530313622:531492468:795522124	40.05	1112894562	2914	2651383409	909877.63	2020	894
GCA_949316315.1	mMusMuc1.1	Mus musculus	179	2770968735	15480272.26	132150484	136646819.8	9	200127270	7482	280	2770948535	9896244.77	39533248	44510140.77	23	123630810	7482	101	20200	200	200	200	51	200	200	803375476:576001686:570631380:820939993	41.38	1063686042	280	2770948535	9896244.77	101	179
GCA_964271855.1	mAcoMin1	Acomys minous	113	2350237540	20798562.3	122851966	119960172	9	187704340	11000	297	2350217440	7913190.03	29281624	35465138.15	23	112549200	11000	184	20100	109.24	100	116.92	84	200	100	671142074:503605594:503891573:671578199	42.87	786428778	297	2350217440	7913190.03	184	113
GCA_037038515.1	mMicPen1	Microtus pennsylvanicus	181	2369135991	13089149.12	125308425	118654857.9	8	223010037	14952	241	2369124991	9830394.15	47175454	56342738.46	16	145900345	14952	60	11000	183.33	200	190.91	28	200	100	682664095:501119792:502946716:682394388	42.38	801409864	241	2369124991	9830394.15	60	181
GCA_903995425.1	mOncTor1	Onychomys torridus	2949	2468394440	837027.62	112723509	112119611.7	9	180773261	212	5092	2442231814	479621.33	2276141	2896743.71	308	12732129	1	2143	26162626	12208.41	1259395	1574943.96	6	3073328	1	710440166:510434390:510619697:710737561	41.81	794060434	5092	2442231814	479621.33	2143	2949
GCA_903992535.2	mArvAmp1	Arvicola amphibius	215	2297766297	10687285.1	158924400	146545327.7	7	200529155	4314	1088	2291739337	2106378.07	5308170	6775318.65	127	28543228	819	873	6026960	6903.73	172746	194791.51	11	495436	3	662879544:482940703:483070538:662848552	42.15	732196540	1088	2291739337	2106378.07	873	215
GCA_950005125.1	mChiNiv1	Chionomys nivalis	161	2393406913	14865881.45	88844950	98950611.91	10	205897943	1000	358	2393367513	6685384.11	30960136	33429891.62	25	78579696	1000	197	39400	200	200	200	99	200	200	694834166:502410848:502276385:693846114	41.98	823260367	358	2393367513	6685384.11	197	161
GCA_026229955.1	mPerMan1	Peromyscus maniculatus	1838	2847741276	1549369.57	43824230	48146898.67	21	129284778	8082	2082	2847716876	1367779.48	10714300	12890723.98	81	53767646	8082	244	24400	100	100	100	122	100	100	823318775:600701160:600715262:822981679	42.19	1066123143	2082	2847716876	1367779.48	244	1838
GCA_020740685.1	mJacJac1	Jaculus jaculus	159	2863848715	18011627.14	158244790	161570934.7	7	344072713	724	720	2850145935	3958536.02	21929955	25753642.18	40	76373269	210	561	13702780	24425.63	442193	620481.1	9	1608956	5	826385282:598418022:598602093:826740538	42	1248578025	720	2850145935	3958536.02	561	159
GCA_031878675.1	mThoBot2	Thomomys bottae	630	2025650949	3215318.97	64418693	61020005.29	12	106217240	11058	1405	2025496124	1441634.25	5921125	7357958.97	102	26541333	11058	775	154825	199.77	200	199.97	388	200	25	596678889:415326953:417509577:595980705	41.12	761219183	1405	2025496124	1441634.25	775	630
GCA_047511655.1	mCasCan1	Castor canadensis	502	2828089101	5633643.63	158968201	155045893.9	8	209551656	11452	683	2828052901	4140633.82	59379167	63485863.26	16	165525121	11452	181	36200	200	200	200	91	200	200	852294900:561533956:561650194:852573851	39.72	961316557	683	2828052901	4140633.82	181	502
GCA_964237555.1	mOryCun1	Oryctolagus cuniculus	222	2804674863	12633670.55	144279705	143354166.5	8	238208258	1000	2498	2804219663	1122585.93	2030165	2323410.71	443	8600074	1000	2276	455200	200	200	200	1138	200	200	785054236:617482504:616848069:784834854	44.02	1152434806	2498	2804219663	1122585.93	2276	222
GCA_030435755.1	mOchPri1	Ochotona princeps	5865	2555461757	435713.85	73962893	75926325.99	12	172484232	12751	6297	2555375528	405808.41	12191025	19391684.06	51	100297355	10343	432	86229	199.6	200	199.94	216	200	29	713683368:564356363:564036395:713299402	44.16	1077016097	6297	2555375528	405808.41	432	5865
GCA_026018925.1	mTupTan1	Tupaia tana	1198	2948294157	2461013.49	112954644	130056243.6	8	268061703	10403	2386	2948178402	1235615.42	7301848	11235401.15	97	41554477	319	1188	115755	97.44	100	99.38	579	100	23	852090252:621991624:621228615:852867911	42.17	1344358623	2386	2948178402	1235615.42	1188	1198
GCA_008692025.1	mPhoSin1	Phocoena sinus	65	2371540524	36485238.83	115469292	121132410.5	8	185845356	1871	277	2363494873	8532472.47	20218762	23072512.09	39	62522136	1	212	8045651	37951.18	198989	238486.83	12	667314	1	692827804:488843401:488783890:693039778	41.36	830922204	277	2363494873	8532472.47	212	65
GCA_963924675.1	mPhoPho1	Phocoena phocoena	440	2512729496	5710748.85	110192646	114469828.1	9	187254698	1000	1406	2512536296	1787010.17	3726689	4420654.05	208	13511482	1000	966	193200	200	200	200	483	200	200	733043618:523960324:524281928:731250426	41.72	968247654	1406	2512536296	1787010.17	966	440
GCA_011762595.2	mTurTru1	Tursiops truncatus	362	2378522214	6570503.35	108430135	117426417.9	9	183742880	1017	1036	2372299698	2289864.57	9729386	12808330.93	72	58340646	583	674	6222516	9232.22	118587	174908.59	15	656608	11	694132417:491768690:491286725:695111866	41.44	826854216	1036	2372299698	2289864.57	674	362
GCA_039906515.1	mPseCra1	Pseudorca crassidens	439	2674608476	6092502.22	110095734	118361935.4	9	198744646	9247	562	2671810484	4754111.18	58817648	64948074.34	15	176753052	3280	123	2797992	22747.9	358020	414056.43	3	764827	13	774369488:562928234:561437108:773075654	42.08	1105950996	562	2671810484	4754111.18	123	439
GCA_964270905.1	mLagAcu1	Leucopleurus acutus	899	2676209414	2976873.65	109653882	115893451.5	9	203976112	660	1933	2676002614	1384377.97	3493168	4341689	231	17882273	660	1034	206800	200	200	200	517	200	200	771137602:563658566:565160740:776045706	42.18	1108392241	1933	2676002614	1384377.97	1034	899
GCA_937001465.1	mOrcOrc1	Orcinus orca	448	2647351467	5909266.67	114219206	122049299.4	9	212697510	15590	571	2647327031	4636299.53	45583382	58772783.95	16	136725247	15590	123	24436	198.67	200	199.76	62	200	36	770893453:554908477:554533593:766991508	41.91	1088774256	571	2647327031	4636299.53	123	448
GCA_949774975.1	mLagAlb1	Lagenorhynchus albirostris	410	2544835795	6206916.57	110721866	116749731.2	9	192538540	1000	1480	2544621795	1719339.05	3398034	3957787.45	237	14893832	1000	1070	214000	200	200	200	535	200	200	737573936:533626700:532945245:740475914	41.91	998309044	1480	2544621795	1719339.05	1070	410
GCA_963455315.2	mGloMel1	Globicephala melas	993	2651292441	2669982.32	105087932	107357506.1	10	188105751	1000	2077	2651075824	1276396.64	3290841	3999100.95	247	18209847	99	1084	216617	199.83	200	199.99	542	200	17	762011605:558718032:564699155:765647032	42.38	1100764124	2077	2651075824	1276396.64	1084	993
GCA_964374135.1	mGraGri1	Grampus griseus	1146	2667081928	2327296.62	107608252	107354836.6	10	183334296	420	2284	2666854328	1167624.49	3106000	3842460.17	258	23496024	420	1138	227600	200	200	200	569	200	200	766770675:560699827:565972054:773411772	42.25	1100238641	2284	2666854328	1167624.49	1138	1146
GCA_036417435.1	mIniGeo1	Inia geoffrensis	903	2749362370	3044698.08	117431308	123020564.9	9	191777932	3064	1187	2749306105	2316180.37	40892022	48932296.66	20	124503031	3064	284	56265	198.12	200	199.93	141	282	31	796755589:578295780:578314524:795940212	42.07	1158761136	1187	2749306105	2316180.37	284	903
GCA_949987515.2	mDelDel1.1	Delphinus delphis	631	2663533373	4221130.54	107080983	107039948.7	10	184867555	1000	1599	2663339942	1665628.48	3627551	4192119.46	235	22869391	1000	968	193431	199.83	200	199.97	484	200	31	774897639:561293959:558941522:768206822	42.06	1122980345	1599	2663339942	1665628.48	968	631
GCA_009873245.3	mBalMus1	Balaenoptera musculus	106	2374868944	22404424	110314666	120190117	9	184938300	610	992	2348931802	2367874.8	6274848	8796540.34	104	35833660	1	886	25937142	29274.43	120226	189626.89	51	791139	1	693584531:479836853:480369658:695140760	40.88	808818886	992	2348931802	2367874.8	886	106
GCA_951394435.1	mSteCoe1.1	Stenella coeruleoalba	638	2691423227	4218531.7	105253534	110061441.8	10	190167893	1000	1631	2691224796	1650045.86	3590204	4086065.06	240	13388302	1000	993	198431	199.83	200	199.97	497	200	31	780092002:568272157:567001565:775859072	42.18	1146532579	1631	2691224796	1650045.86	993	638
GCA_028021215.1	mEscRob2	Eschrichtius robustus	704	2982434994	4236413.34	126538682	117796030.9	10	200946153	12535	983	2982379194	3033956.45	39209000	49159227.45	20	135014000	12535	279	55800	200	200	200	140	200	200	867897547:623690829:621268726:869522092	41.74	1368467495	983	2982379194	3033956.45	279	704
GCA_028023285.1	mBalRic1	Balaenoptera ricei	774	2678442663	3460520.24	122071569	121937457.8	9	194239256	1000	1108	2675821169	2415001.06	36541936	45718703.05	20	107985902	1000	334	2621494	7848.78	329223	688516.66	2	1215926	13	782027422:555627111:553212541:784954095	41.44	1086042246	1108	2675821169	2415001.06	334	774
GCA_949987535.1	mBalAcu1.1	Balaenoptera acutorostrata	1375	2772901778	2016655.84	116513105	114136791.2	10	198663870	1000	2552	2772666378	1086468.02	3015723	3601509.56	275	13478115	1000	1177	235400	200	200	200	589	200	200	810527824:575669799:576433288:810035467	41.55	1168637510	2552	2772666378	1086468.02	1177	1375
GCA_041834305.1	mMegNov1	Megaptera novaeangliae	1355	3146604256	2322217.16	107416641	99657233.66	12	191558633	7800	1443	3146595456	2180592.83	36344089	40641332.52	26	124171542	7800	88	8800	100	100	100	44	100	100	910967740:660345150:662780947:912501619	42.05	1503424902	1443	3146595456	2180592.83	88	1355
GCA_965194825.1	mBalPhy1	Balaenoptera physalus	2612	3442554901	1317976.61	110866263	97741990.57	12	197289168	1000	4128	3442251701	833878.8	2079521	2731789.83	460	10833546	1000	1516	303200	200	200	200	758	200	200	1004283341:730170367:722136955:985661038	42.19	1787346769	4128	3442251701	833878.8	1516	2612
GCA_965194805.1	mBalBor1	Balaenoptera borealis	2572	3234573494	1257610.22	118917181	103150343.9	11	194562506	1000	3751	3234337694	862260.12	2585625	3362505.31	344	14088461	1000	1179	235800	200	200	200	590	200	200	945648472:680288676:677947594:930452952	41.99	1617252137	3751	3234337694	862260.12	1179	2572
GCA_025265405.1	mMesDen1	Mesoplodon densirostris	73	2683375131	36758563.44	125805690	133752928	8	247284360	49122	170	2682674828	15780440.16	48253041	56351657.44	18	131637648	15449	97	700303	7219.62	126210	178413.02	2	315505	13	781542908:555878398:562891776:782361746	41.7	1107045066	170	2682674828	15780440.16	97	73
GCA_964165515.1	mMesBid2	Mesoplodon bidens	1602	2999098505	1872096.45	107252728	108285629.9	10	230086563	1000	2697	2998879505	1111931.59	3140665	3833448.69	284	18454384	1000	1095	219000	200	200	200	548	200	200	869454852:632279525:628569975:868575153	42.04	1339695410	2697	2998879505	1111931.59	1095	1602
GCA_964341445.1	mMesMir1	Mesoplodon mirus	2757	3442419404	1248610.59	115717908	115944179.8	10	232780520	1000	3997	3442171388	861188.74	3298322	3914948.28	310	12959638	1000	1240	248016	200.01	200	200.01	620	216	200	990299120:727313733:734982911:989575624	42.48	1754480595	3997	3442171388	861188.74	1240	2757
GCA_949752795.1	mHypAmp2.1	Hyperoodon ampullatus	757	2828760712	3736804.11	117448692	118082210.2	9	230449670	1000	1855	2828541112	1524820.01	3126546	3942371.47	266	19981646	1000	1098	219600	200	200	200	549	200	200	824417814:591661210:590895558:821566530	41.81	1253775112	1855	2828541112	1524820.01	1098	757
GCA_026419965.1	mKogBre1	Kogia breviceps	580	2555838840	4406618.69	122394096	131830115.5	8	202422507	9545	723	2551041071	3528410.89	42780423	53737923.73	20	201991588	9545	143	4797769	33550.83	4376142	3997661.02	1	4376142	13	736991690:534836360:537830706:741382315	42.05	1007980803	723	2551041071	3528410.89	143	580
GCA_028564815.2	mEubGla1	Eubalaena glacialis	788	2843675187	3608724.86	129620717	134431593.3	9	240837649	12339	1155	2838717103	2457763.73	37467374	40379677.86	25	101487703	12339	367	4958084	13509.77	3661394	2727325.09	1	3661394	13	828341043:592562256:590878899:826934905	41.69	1234443559	1155	2838717103	2457763.73	367	788
GCA_005190385.3	mMonMon1	Monodon monocero	101	2341954608	23187669.39	108465051	118235360	9	182208776	397	414	2341923308	5656819.58	22031227	25393866.32	36	83581340	397	313	31300	100	100	100	157	100	100	687616539:482917370:483365537:688023862	41.26	808010906	414	2341923308	5656819.58	313	101
GCA_030028045.1	mHipAmp2	Hippopotamus amphibius	356	2538242855	7129895.66	149218186	157163419.6	7	240032215	21224	582	2538197655	4361164.36	50348260	50471467.74	18	105926430	21224	226	45200	200	200	200	113	200	200	741287594:527870411:527990551:741049099	41.6	886195041	582	2538197655	4361164.36	226	356
GCA_042477335.2	mOviCan1	Ovis canadensis	41	2974267070	72543099.27	105224494	138432190.2	9	281219098	26564	44	2974266770	67596972.05	105224494	136310824.5	9	281219098	26564	3	300	100	100	100	2	100	100	830264505:650503259:655384190:838114816	43.91	1379024006	44	2974266770	67596972.05	3	41
GCA_040805955.1	mOviAri1	Ovis aries	28	2853626077	101915217	103395564	138194563.2	9	287792376	26593495	28	2853626077	101915217	103395564	138194563.2	9	287792376	26593495	0	0	0	0	0	0	0	0	809364347:615378585:616524462:812358683	43.17	1239637807	28	2853626077	101915217	0	28
GCA_003369695.2	UOA_Brahman_1	Bos taurus	1251	2680969395	2143061.07	104466507	96623257.31	11	156943404	1040	1553	2679332898	1725262.65	26764281	31013525.17	32	79234837	1040	302	1636497	5418.86	307936	267027.89	3	396419	13	779589770:560432193:560306545:779004390	41.83	1090759921	1553	2679332898	1725262.65	302	1251
GCA_041735815.1	mCapHir4	Capra hircus	31	2863923675	92384634.68	100793790	104589180.2	12	166528736	20906000	31	2863923675	92384634.68	100793790	104589180.2	12	166528736	20906000	0	0	0	0	0	0	0	0	810638146:617548874:619384222:816352433	43.19	1250026247	31	2863923675	92384634.68	0	31
GCA_910594005.1	mCerEla1	Cervus elaphus	145	2886619877	19907723.29	83473711	89239891.34	13	179953079	16353	185	2886609477	15603294.47	68741660	65507991.01	17	114897605	16353	40	10400	260	200	315.38	14	500	200	819723673:619711663:620941528:826232613	42.98	1271094356	185	2886609477	15603294.47	40	145
GCA_963930625.1	mMunRee1	Muntiacus reevesi	268	2656184892	9911137.66	114544513	151457157.8	7	285828854	1000	950	2656048492	2795840.52	5780196	6976994.04	142	28506795	1000	682	136400	200	200	200	341	200	200	770884029:555900653:556791026:772472784	41.89	1044427343	950	2656048492	2795840.52	682	268
GCA_048126745.1	mDamDam1	Dama dama	1304	2723325442	2088439.76	76496593	78163014.88	14	146771910	1000	1451	2723310742	1876850.96	49431082	50438629.28	20	102731773	300	147	14700	100	100	100	74	100	100	793193123:567836701:570424732:791856186	41.8	1108825481	1451	2723310742	1876850.96	147	1304
GCA_048338725.1	mSusScr2	Sus scrofa	20	2633166191	131658309.6	144930921	156255536.6	8	293184154	43245276	20	2633166191	131658309.6	144930921	156255536.6	8	293184154	43245276	0	0	0	0	0	0	0	0	757429082:560772317:559698457:755266335	42.55	984911871	20	2633166191	131658309.6	0	20
GCA_036321535.1	mCamDro1	Camelus dromedarius	172	2306619778	13410580.1	72991593	69917291.65	12	123284173	16684	367	2306580778	6284961.25	31216184	36196900.21	22	114989628	16684	195	39000	200	200	200	98	200	200	672301071:479921310:480457099:673901298	41.64	760559355	367	2306580778	6284961.25	195	172
