Accession,Clade,total_paths,total_gaps,total_telomeres,mean_length,median_length,min_length,max_length,two_telomeres,one_telomere,no_telomeres,t2t,gapped_t2t,missassembled,gapped_missassembled,incomplete,gapped_incomplete,no_telomeres_comp,gapped_no_telomeres,discordant,gapped_discordant,core_id,version_num,with_telomeres,n_chromosomes,two_telomeres_pct,one_telomere_pct,with_telomeres_pct,total_telomeres_pct_of_ends,Complete_BUSCO,Single_BUSCO,Duplicated_BUSCO,Fragmented_BUSCO,Missing_BUSCO,STOP_BUSCO,Frameshift_BUSCO,Complete_Compleasm,Single_Compleasm,Duplicated_Compleasm,Retrocopy_Compleasm,Fragmented_Compleasm,Missing_Compleasm,Frameshift_Compleasm,# scaffolds,Total scaffold length,Average scaffold length,Scaffold N50,Scaffold auN,Scaffold L50,Largest scaffold,Smallest scaffold,# contigs,Total contig length,Average contig length,Contig N50,Contig auN,Contig L50,Largest contig,Smallest contig,# gaps in scaffolds,Total gap length in scaffolds,Average gap length in scaffolds,Gap N50 in scaffolds,Gap auN in scaffolds,Gap L50 in scaffolds,Largest gap in scaffolds,Smallest gap in scaffolds,Base composition (A:C:G:T),GC content,# soft-masked bases,# segments,Total segment length,Average segment length,# gaps,# paths,Technology,Extended lineage,Assembly tech,Complete_BUSCO_log10p1,Single_BUSCO_log10p1,Duplicated_BUSCO_log10p1,Fragmented_BUSCO_log10p1,Missing_BUSCO_log10p1,STOP_BUSCO_log10p1,Frameshift_BUSCO_log10p1,Complete_Compleasm_log10p1,Single_Compleasm_log10p1,Duplicated_Compleasm_log10p1,Retrocopy_Compleasm_log10p1,Fragmented_Compleasm_log10p1,Missing_Compleasm_log10p1,Frameshift_Compleasm_log10p1,# scaffolds_log10p1,Total scaffold length_log10p1,Average scaffold length_log10p1,Scaffold N50_log10p1,Scaffold auN_log10p1,Scaffold L50_log10p1,Largest scaffold_log10p1,Smallest scaffold_log10p1,# contigs_log10p1,Total contig length_log10p1,Average contig length_log10p1,Contig N50_log10p1,Contig auN_log10p1,Contig L50_log10p1,Largest contig_log10p1,Smallest contig_log10p1,# gaps in scaffolds_log10p1,Total gap length in scaffolds_log10p1,Average gap length in scaffolds_log10p1,Gap N50 in scaffolds_log10p1,Gap auN in scaffolds_log10p1,Gap L50 in scaffolds_log10p1,Largest gap in scaffolds_log10p1,Smallest gap in scaffolds_log10p1,Base composition (A:C:G:T)_log10p1,GC content_log10p1,# soft-masked bases_log10p1,# segments_log10p1,Total segment length_log10p1,Average segment length_log10p1,# gaps_log10p1,# paths_log10p1
GCF_902713425.1,fish,61,422,60,7785.53,4832,664,49996,18,26,16,0,14,0,4,0,26,1,15,0,0,902713425,1,44,60,30,43.33333333,73.33333333,50,3370,852,2518,4,16,159,323,3368,985,2380,3,11,11,98,1731,1899810788,1097522.12,42723358,56084165.05,12,120284971,9126,2164,1899724488,877876.38,8776027,10180590.73,65,31312220,9126,433,86300,199.31,200,199.65,216,200,100,,40.11,781840306,2164,1899724488,877876.38,433,1731,HiFi,Ray-finned fishes,HiFi,3.527758753,2.930949031,3.401228167,0.698970004,1.230448921,2.204119983,2.51054501,3.527501011,2.993876915,3.376759395,0.602059991,1.079181246,1.079181246,1.995635195,3.238547888,9.27871035,6.040413678,7.630665391,7.748840266,1.113943352,8.080211371,3.960328051,3.335457901,9.278690621,5.943433859,6.943298,7.007773021,1.819543936,7.495713874,3.960328051,2.63748973,4.936015828,2.301702631,2.303196057,2.302439164,2.336459734,2.303196057,2.004321374,,1.613947477,8.893118056,3.335457901,9.278690621,5.943433859,2.63748973,3.238547888
GCF_014108415.1,mammals,60,349,9,6253.44,5061,3544,10244,2,5,53,0,2,0,0,2,3,23,30,0,0,14108415,1,7,0,,,,,3376,3264,112,6,8,188,493,3379,3344,7,28,7,4,56,61,2315585093,37960411.36,110665204,116870739.5,9,252436072,16612,410,2268212219,5532224.92,22174888,28048056.69,30,77248698,16612,349,47372874,135738.89,536154,738647.8,24,2208597,13,,42.35,845782122,410,2268212219,5532224.92,349,61,CLR,Mammals,CLR I,3.528531061,3.513883186,2.053078443,0.84509804,0.954242509,2.276461804,2.693726949,3.5289167,3.524396122,0.903089987,1.462397998,0.903089987,0.698970004,1.755874856,1.792391689,9.364660745,7.579330921,8.044011093,8.067705796,1,8.402151415,4.220448065,2.613841822,9.355683686,6.742899907,7.345861455,7.447902792,1.491361694,7.887891174,4.220448065,2.544068044,7.675529742,5.132707493,5.72929036,5.868437997,1.397940009,6.344116675,1.146128036,,1.636989102,8.927258501,2.613841822,9.355683686,6.742899907,2.544068044,1.792391689
GCF_020745735.1,sharks,54,2031,39,27047.6,27181,2933,49996,8,26,20,0,5,0,3,0,26,0,20,0,0,20745735,1,34,54,14.81481481,48.14814815,62.96296296,36.11111111,3344,3298,46,11,35,78,153,3345,3334,9,2,13,32,39,1963,3983483121,2029283.3,83580160,82692222.15,17,167561909,1132,5679,3905918439,687782.79,8845575,14451763.3,94,55529653,438,3716,77564682,20873.17,164083,235562.4,127,1248970,1,,42.76,1721301190,5679,3905918439,687782.79,3716,1963,CLR,Cartilaginous fishes,CLR II,3.524396122,3.518382316,1.672097858,1.079181246,1.556302501,1.897627091,2.187520721,3.524525937,3.523095838,1,0.477121255,1.146128036,1.51851394,1.602059991,3.293141483,9.600262981,6.307342895,7.922103203,7.917464668,1.255272505,8.224175302,3.05422991,3.754348336,9.59172317,5.837451936,6.946726118,7.15992087,1.977723605,7.744524967,2.64246452,3.570192561,7.889664022,4.319609216,5.215066235,5.372107814,2.10720997,6.096552355,0.301029996,,1.641077313,9.235856869,3.754348336,9.59172317,5.837451936,3.570192561,3.293141483
GCA_009819825.1,birds,53,168,3,3039.33,1716,714,6688,0,3,50,0,0,0,0,1,2,3,47,0,0,9819825,1,3,52,0,5.769230769,5.769230769,2.884615385,3371,3349,22,8,11,268,706,3378,3364,13,1,6,6,118,110,1215245693,11047688.12,30176635,33427248.73,14,88027262,2034,304,1210312355,3981290.64,13514148,16025116.16,28,41774615,11,194,4933338,25429.58,223538,217334.1,8,534729,13,,42.2,226581211,304,1210312355,3981290.64,194,110,CLR,Birds,CLR I,3.527887566,3.525044807,1.361727836,0.954242509,1.079181246,2.42975228,2.849419414,3.528788192,3.526985069,1.146128036,0.301029996,0.84509804,0.84509804,2.075546961,2.045322979,9.084664091,7.043271445,7.479670824,7.524100646,1.176091259,7.944617199,3.308564414,2.484299839,9.082897467,6.600023992,7.130788703,7.204801213,1.462397998,7.620912466,1.079181246,2.290034611,6.69314096,4.405356265,5.349353304,5.337129871,0.954242509,5.72813455,1.146128036,,1.635483747,8.355223896,2.484299839,9.082897467,6.600023992,2.290034611,2.045322979
GCA_936440315.1,fish,51,107,24,4334.04,3089,604,10288,4,16,31,1,3,0,0,2,14,1,30,0,0,936440315,1,20,50,8,32,40,24,3365,499,2866,8,17,251,534,3368,670,2691,7,8,14,107,92,1584929904,17227498.96,31505967,32634560.9,22,47791430,12731,200,1584908304,7924541.52,22843665,20676259.29,29,40726689,12731,108,21600,200,200,200,54,200,200,,37.89,655883181,200,1584908304,7924541.52,108,92,HiFi,Ray-finned fishes,HiFi,3.527114112,2.698970004,3.457427693,0.954242509,1.255272505,2.401400541,2.728353782,3.527501011,2.82672252,3.430075056,0.903089987,0.954242509,1.176091259,2.033423755,1.968482949,9.20001006,7.236222258,7.498392828,7.513677787,1.361727836,7.679350035,4.10489663,2.303196057,9.200004141,6.8989742,7.358765802,7.315471991,1.477121255,7.609879115,4.10489663,2.037426498,4.334473857,2.303196057,2.303196057,2.303196057,1.740362689,2.303196057,2.303196057,,1.589837943,8.816826495,2.303196057,9.200004141,6.8989742,2.037426498,1.968482949
GCF_030684315.1,sharks,51,1075,22,10581.1,10968,1625,24139,8,10,33,0,4,0,4,0,10,0,33,0,0,30684315,1,18,51,15.68627451,19.60784314,35.29411765,21.56862745,3280,3242,38,26,84,84,158,3285,3274,10,1,28,77,45,835,3198515386,3830557.35,79021053,83076124.08,14,194051863,7955,1994,3181408905,1595490.93,6162596,8549617.61,136,31236108,7955,1159,17106481,14759.69,67422,343508.19,48,2056108,13,,43.41,1340106666,1994,3181408905,1595490.93,1159,835,HiFi,Cartilaginous fishes,HiFi,3.51600623,3.510946949,1.591064607,1.431363764,1.929418926,1.929418926,2.201397124,3.516667559,3.515211304,1.041392685,0.301029996,1.462397998,1.892094603,1.662757832,2.922206277,9.504948444,6.583262082,7.897742818,7.919476232,1.176091259,8.287917819,3.900694774,3.2999429,9.502619492,6.202894612,6.789763768,6.931946742,2.136720567,7.49465693,3.900694774,3.064457989,7.233160705,4.169106659,4.828808073,5.53593836,1.69019608,6.313046134,1.146128036,,1.647480773,9.127139368,3.2999429,9.502619492,6.202894612,3.064457989,2.922206277
GCF_036365525.1,sharks,51,2556,25,15371.8,11231,3477,49996,4,14,27,0,1,0,3,0,14,0,27,0,0,36365525,1,18,51,7.843137255,27.45098039,35.29411765,24.50980392,3324,3263,61,24,42,89,197,3325,3298,21,6,26,39,49,2307,6013065386,2606443.6,90140832,98403380.27,21,287946412,13349,5088,5984695865,1176237.39,3418954,4461003.09,500,22199025,13349,2781,28369521,10201.19,50502,111783.42,141,842671,13,,45.05,4108152809,5088,5984695865,1176237.39,2781,2307,HiFi,Cartilaginous fishes,HiFi,3.52179165,3.51375015,1.792391689,1.397940009,1.633468456,1.954242509,2.29666519,3.521922245,3.518382316,1.342422681,0.84509804,1.431363764,1.602059991,1.698970004,3.363235804,9.779095926,6.416048498,7.954921567,7.993010022,1.342422681,8.459311673,4.125481266,3.706632451,9.777042085,6.07049535,6.533893385,6.649432621,2.699837726,7.34633392,4.125481266,3.444357126,7.452852018,4.008693407,4.703317177,5.048381278,2.152288344,5.925658564,1.146128036,,1.663229635,9.61364659,3.706632451,9.777042085,6.07049535,3.444357126,3.363235804
GCF_963082965.1,fish,50,813,21,7194.52,7044,3897,10907,1,19,30,0,0,0,1,0,19,0,30,0,0,963082965,1,20,50,2,38,40,21,3350,1272,2078,10,30,183,359,3354,1520,1827,7,8,28,99,278,1684313041,6058680,32663704,33768028.46,23,53933806,1000,1110,1684146641,1517249.23,3822391,4569296.53,135,15756000,1000,832,166400,200,200,200,416,200,200,,38.31,735833105,1110,1684146641,1517249.23,832,278,HiFi,Ray-finned fishes,HiFi,3.525174428,3.104828404,3.317854489,1.041392685,1.491361694,2.264817823,2.556302501,3.525692525,3.182129214,3.261976191,0.903089987,0.954242509,1.462397998,2,2.445604203,9.226422811,6.782378087,7.514065445,7.528505718,1.380211242,7.731861077,3.000434077,3.045714059,9.226379904,6.181057212,6.582335223,6.659849438,2.133538908,7.197446,3.000434077,2.920645001,5.221155932,2.303196057,2.303196057,2.303196057,2.620136055,2.303196057,2.303196057,,1.594503044,8.866779323,3.045714059,9.226379904,6.181057212,2.920645001,2.445604203
GCA_963514005.1,sharks,50,2251,28,8871.86,7961,764,20289,8,13,27,0,3,0,5,0,13,1,26,0,0,963514005,1,21,49,16.32653061,26.53061224,42.85714286,28.57142857,3286,3240,46,36,68,67,205,3284,3268,12,4,43,63,50,1647,2700467673,1639628.22,68366687,79714323.36,13,187439314,1000,3916,2700013873,689482.6,2048057,2728157.25,367,12111648,1000,2269,453800,200,200,200,1135,200,200,,44.98,1569362921,3916,2700013873,689482.6,2269,1647,HiFi,Cartilaginous fishes,HiFi,3.516799704,3.510679031,1.672097858,1.568201724,1.838849091,1.832508913,2.31386722,3.516535374,3.514414921,1.113943352,0.698970004,1.643452676,1.806179974,1.707570176,3.216957207,9.431438983,6.214745649,7.834844541,7.901536369,1.146128036,8.272860688,3.000434077,3.592953572,9.431365996,5.838523941,6.311342251,6.435869558,2.565847819,7.083203276,3.000434077,3.356025857,5.656865449,2.303196057,2.303196057,2.303196057,3.055378331,2.303196057,2.303196057,,1.662568967,9.195723388,3.592953572,9.431365996,5.838523941,3.356025857,3.216957207
GCF_010909765.2,sharks,49,3313,5,14564.8,9535,1106,49998,0,3,45,0,0,0,0,0,3,0,45,0,0,10909765,2,3,49,0,6.12244898,6.12244898,5.102040816,3281,3230,51,31,78,50,140,3282,3260,20,2,33,75,70,958,2558801738,2670983.03,62052929,77168333.44,13,193168304,1363,4711,2367829205,502617.11,1419197,2021659.93,454,11576558,1360,3753,190972533,50885.3,547539,748641.5,92,3087321,2,,44.3,1322248254,4711,2367829205,502617.11,3753,958,CLR,Cartilaginous fishes,CLR,3.516138577,3.509336958,1.716003344,1.505149978,1.897627091,1.707570176,2.149219113,3.516270883,3.513350799,1.322219295,0.477121255,1.531478917,1.880813592,1.851258349,2.981818607,9.408036637,6.426671291,7.792762293,7.887439127,1.146128036,8.285935869,3.13481437,3.673205282,9.374350373,5.701238133,6.15204299,6.305708318,2.658011397,7.063579489,3.133858125,3.574494268,8.280970911,4.706600874,5.738415852,5.874274478,1.968482949,6.489581928,0.477121255,,1.656098202,9.121313003,3.673205282,9.374350373,5.701238133,3.574494268,2.981818607
GCF_014839835.1,birds,46,155,12,6122.17,4491,745,11962,2,9,35,0,1,0,1,0,9,4,31,0,0,14839835,1,11,46,4.347826087,19.56521739,23.91304348,13.04347826,3358,3346,12,4,28,148,353,3360,3350,7,3,5,25,56,181,1187956536,6563295.78,38715865,47582049.47,11,140157326,379,368,1183953406,3217264.69,19150283,20918166.69,20,53794067,379,187,4003130,21407.11,368022,434786.77,4,800785,13,,45.31,371059018,368,1183953406,3217264.69,187,181,CLR,Birds,CLR I,3.526210004,3.524655712,1.113943352,0.698970004,1.462397998,2.173186268,2.549003262,3.526468512,3.525174428,0.903089987,0.602059991,0.77815125,1.414973348,1.755874856,2.260071388,9.074800552,6.817122043,7.587888978,7.677443153,1.079181246,8.146615806,2.579783597,2.567026366,9.073334612,6.507486928,7.282175219,7.32052364,1.322219295,7.730734388,2.579783597,2.274157849,6.602399802,4.330578328,5.565874961,5.638277319,0.698970004,5.903516472,1.146128036,,1.665674781,8.569442992,2.567026366,9.073334612,6.507486928,2.274157849,2.260071388
GCF_015220805.1,birds,46,208,1,5341,5341,5341,5341,0,1,45,0,0,0,0,0,1,4,41,0,0,15220805,1,1,46,0,2.173913043,2.173913043,1.086956522,3359,3352,7,4,27,169,469,3362,3355,6,1,7,21,68,253,1272358903,5029086.57,33994490,39840995.62,13,117909544,5358,560,1266346146,2261332.4,16792259,18226827.13,25,47589575,1797,307,6012757,19585.53,173817,290301.43,9,824725,13,,45.96,446331334,560,1266346146,2261332.4,307,253,CLR,Birds,CLR I,3.526339277,3.525433553,0.903089987,0.698970004,1.447158031,2.230448921,2.672097858,3.526726867,3.525821952,0.84509804,0.301029996,0.903089987,1.342422681,1.838849091,2.404833717,9.104609633,6.701489198,7.531408543,7.600330194,1.146128036,8.071548963,3.729083757,2.748962861,9.102552433,6.354364597,7.22510915,7.260711098,1.414973348,7.677511835,3.254789687,2.488550717,6.779073725,4.291957502,5.240094748,5.462850671,1,5.916309686,1.146128036,,1.671728088,8.649657378,2.748962861,9.102552433,6.354364597,2.488550717,2.404833717
