Accession,Clade,total_paths,total_gaps,total_telomeres,mean_length,median_length,min_length,max_length,two_telomeres,one_telomere,no_telomeres,t2t,gapped_t2t,missassembled,gapped_missassembled,incomplete,gapped_incomplete,no_telomeres_comp,gapped_no_telomeres,discordant,gapped_discordant,core_id,version_num,with_telomeres,n_chromosomes,two_telomeres_pct,one_telomere_pct,with_telomeres_pct,total_telomeres_pct_of_ends,Technology,Extended lineage,Assembly tech,mean_telo_N50,median_telo_N50
GCF_030684315.1,sharks,51,1075,22,10581.1,10968,1625,24139,8,10,33,0,4,0,4,0,10,0,33,0,0,30684315,1,18,51,15.68627451,19.60784314,35.29411765,21.56862745,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCF_036365525.1,sharks,51,2556,25,15371.8,11231,3477,49996,4,14,27,0,1,0,3,0,14,0,27,0,0,36365525,1,18,51,7.843137255,27.45098039,35.29411765,24.50980392,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCF_963082965.1,fish,50,813,21,7194.52,7044,3897,10907,1,19,30,0,0,0,1,0,19,0,30,0,0,963082965,1,20,50,2,38,40,21,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963514005.1,sharks,50,2251,28,8871.86,7961,764,20289,8,13,27,0,3,0,5,0,13,1,26,0,0,963514005,1,21,49,16.32653061,26.53061224,42.85714286,28.57142857,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCF_010909765.2,sharks,49,3313,5,14564.8,9535,1106,49998,0,3,45,0,0,0,0,0,3,0,45,0,0,10909765,2,3,49,0,6.12244898,6.12244898,5.102040816,CLR,Cartilaginous fishes,CLR,17665.75,12986.5
GCF_014839835.1,birds,46,155,12,6122.17,4491,745,11962,2,9,35,0,1,0,1,0,9,4,31,0,0,14839835,1,11,46,4.347826087,19.56521739,23.91304348,13.04347826,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_015220805.1,birds,46,208,1,5341,5341,5341,5341,0,1,45,0,0,0,0,0,1,4,41,0,0,15220805,1,1,46,0,2.173913043,2.173913043,1.086956522,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_009764475.1,sharks,46,649,26,7458.46,7594,1696,13438,6,18,22,0,2,0,4,0,18,0,22,0,0,9764475,1,24,46,13.04347826,39.13043478,52.17391304,28.26086957,CLR,Cartilaginous fishes,CLR I,17665.75,12986.5
GCF_035084215.1,sharks,46,1606,41,9352.07,9735,539,27120,23,8,14,0,9,0,14,0,8,0,14,0,0,35084215,1,31,46,50,17.39130435,67.39130435,44.56521739,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCA_028020825.1,birds,45,194,26,13995.4,8691,6078,49995,2,19,21,0,0,0,2,4,15,1,20,0,0,28020825,1,21,45,4.444444444,42.22222222,46.66666667,28.88888889,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_020740725.1,birds,44,278,24,10311.3,9788,1361,19783,6,13,25,0,5,0,1,1,12,5,20,0,0,20740725,1,19,43,13.95348837,30.23255814,44.18604651,27.90697674,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_030936135.1,birds,44,240,21,8498.43,8678,2212,14172,2,17,25,0,2,0,0,1,16,1,24,0,0,30936135,1,19,44,4.545454545,38.63636364,43.18181818,23.86363636,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_020746105.1,birds,43,202,14,4307.5,3852,2015,8190,0,14,29,0,0,0,0,8,6,6,23,0,0,20746105,1,14,42,0,33.33333333,33.33333333,16.66666667,CLR,Birds,CLR II,8283.715384615385,7730.0
GCA_027574665.1,birds,43,295,23,5384.91,5860,601,9494,5,14,24,1,3,0,1,0,14,5,19,0,0,27574665,1,19,43,11.62790698,32.55813953,44.18604651,26.74418605,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_047830755.1,birds,43,222,62,10262.6,9065,4637,22236,24,15,4,3,19,0,2,3,12,1,3,0,0,47830755,1,39,42,57.14285714,35.71428571,92.85714286,73.80952381,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964035555.1,birds,43,713,37,9488.13,8588,1902,20966,6,24,12,0,6,0,0,0,24,1,11,0,0,964035555,1,30,42,14.28571429,57.14285714,71.42857143,44.04761905,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_965178545.1,birds,43,644,7,3380.14,3777,655,6203,0,7,36,0,0,0,0,0,7,1,35,0,0,965178545,1,7,42,0,16.66666667,16.66666667,8.333333333,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_036417845.1,birds,43,157,37,9353.41,8550,3037,18094,8,22,13,2,5,0,1,3,19,2,11,0,0,36417845,1,30,43,18.60465116,51.1627907,69.76744186,43.02325581,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_020826845.1,mammals,43,148,17,11278.3,9912,1330,28716,2,14,27,0,1,0,1,2,12,2,25,0,0,20826845,1,16,42,4.761904762,33.33333333,38.0952381,20.23809524,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_017639515.1,sharks,43,2098,25,22231,19368,6246,49995,6,12,23,0,4,0,2,0,12,1,22,0,0,17639515,1,18,42,14.28571429,28.57142857,42.85714286,29.76190476,CLR,Cartilaginous fishes,CLR I,17665.75,12986.5
GCA_031877795.1,birds,42,272,27,7279.48,6179,4169,20564,2,24,16,0,0,0,2,1,23,3,13,0,0,31877795,1,26,41,4.87804878,58.53658537,63.41463415,32.92682927,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_031885435.1,birds,42,242,70,7883.77,7895,1690,15477,30,10,2,7,23,0,0,2,8,1,1,0,0,31885435,1,40,41,73.17073171,24.3902439,97.56097561,85.36585366,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_037962945.1,birds,42,148,24,4532.04,4349,1285,7464,4,16,22,0,4,0,0,4,12,7,15,0,0,37962945,1,20,41,9.756097561,39.02439024,48.7804878,29.26829268,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_048771995.1,birds,42,9,82,11878.2,10498,3197,30340,41,0,1,38,3,0,0,0,0,1,0,0,0,48771995,1,41,41,100,0,100,100,HiFi,Birds,CLR I,8283.715384615385,7730.0
GCA_963989345.1,birds,42,540,38,8532.55,7894,1503,15966,5,28,9,1,3,0,1,0,28,1,8,0,0,963989345,1,33,41,12.19512195,68.29268293,80.48780488,46.34146341,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964034855.1,birds,42,1124,12,7741.92,7889,1118,15174,2,8,32,0,2,0,0,0,8,3,29,0,0,964034855,1,10,41,4.87804878,19.51219512,24.3902439,14.63414634,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964106895.1,birds,42,770,15,4723.2,4736,1845,8176,0,15,27,0,0,0,0,0,15,6,21,0,0,964106895,1,15,41,0,36.58536585,36.58536585,18.29268293,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964188345.1,birds,42,550,27,4173.81,4081,805,9001,5,18,19,0,4,0,1,0,18,1,18,0,0,964188345,1,23,41,12.19512195,43.90243902,56.09756098,32.92682927,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964195595.2,birds,42,518,17,5588.71,4408,2174,10123,0,17,25,0,0,0,0,0,17,1,24,0,0,964195595,2,17,41,0,41.46341463,41.46341463,20.73170732,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964211825.1,birds,42,466,38,8144.5,8490,1873,16906,8,25,8,0,3,0,5,1,24,1,7,0,0,964211825,1,33,41,19.51219512,60.97560976,80.48780488,46.34146341,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964211835.1,birds,42,906,28,4942.86,5076,625,10169,5,18,19,0,5,0,0,0,18,2,17,0,0,964211835,1,23,41,12.19512195,43.90243902,56.09756098,34.14634146,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_965140245.1,birds,42,572,21,4068.14,3647,812,9438,2,17,23,0,2,0,0,0,17,1,22,0,0,965140245,1,19,41,4.87804878,41.46341463,46.34146341,25.6097561,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_965151615.1,birds,42,535,33,5475.76,5311,598,10269,4,27,11,0,2,0,2,1,26,2,9,0,0,965151615,1,31,41,9.756097561,65.85365854,75.6097561,40.24390244,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_965231275.1,birds,42,695,32,3190.03,2360,546,10062,3,26,13,0,2,0,1,0,26,1,12,0,0,965231275,1,29,41,7.317073171,63.41463415,70.73170732,39.02439024,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_027477595.1,birds,42,270,44,6515.5,6395,1247,15673,14,16,12,2,11,0,1,0,16,0,12,0,0,27477595,1,30,41,34.14634146,39.02439024,73.17073171,53.65853659,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_030490865.1,birds,42,395,63,7604.71,7977,743,16276,24,15,3,2,22,0,0,3,12,0,3,0,0,30490865,1,39,41,58.53658537,36.58536585,95.12195122,76.82926829,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_009769605.1,birds,41,175,1,3869,3869,3869,3869,0,1,40,0,0,0,0,0,1,2,38,0,0,9769605,1,1,41,0,2.43902439,2.43902439,1.219512195,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_030867145.1,birds,41,249,32,8228.06,6241,2459,22734,4,26,11,0,2,0,2,4,22,3,8,0,0,30867145,1,30,41,9.756097561,63.41463415,73.17073171,39.02439024,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_045364795.1,birds,41,690,31,6916.13,6824,2690,11952,6,19,16,0,5,0,1,0,19,2,14,0,0,45364795,1,25,41,14.63414634,46.34146341,60.97560976,37.80487805,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_047922985.1,birds,41,291,38,7415.76,8351,651,13528,9,19,11,0,8,0,1,1,18,3,8,0,0,47922985,1,28,40,22.5,47.5,70,47.5,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_963082525.1,birds,41,493,40,10494,9718,3453,20879,9,22,10,2,7,0,0,1,21,1,9,0,0,963082525,1,31,40,22.5,55,77.5,50,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_963513975.1,birds,41,566,26,7634.27,7965,1931,10799,8,10,23,0,8,0,0,0,10,1,22,0,0,963513975,1,18,40,20,25,45,32.5,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964059595.1,birds,41,448,38,11161.9,11602,944,18997,8,22,11,0,7,0,1,2,20,2,9,0,0,964059595,1,30,40,20,55,75,47.5,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964106855.1,birds,41,588,35,4895.94,3236,918,48536,9,19,13,0,7,0,2,0,19,3,10,0,0,964106855,1,28,40,22.5,47.5,70,43.75,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964289735.1,birds,41,1266,12,1597.5,1355,623,3884,2,9,30,0,1,0,1,0,9,1,29,0,0,964289735,1,11,40,5,22.5,27.5,15,HiFi,Birds,HiFI,8283.715384615385,7730.0
GCA_965140915.1,birds,41,672,27,4797.15,3612,516,28963,5,19,15,0,1,0,4,0,19,1,14,0,0,965140915,1,24,40,12.5,47.5,60,33.75,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_965231335.1,birds,41,521,17,4696.71,4564,1075,8909,1,15,25,0,1,0,0,2,13,4,21,0,0,965231335,1,16,40,2.5,37.5,40,21.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_009819885.2,birds,41,371,1,12463,12463,12463,12463,0,1,40,0,0,0,0,0,1,0,40,0,0,9819885,2,1,41,0,2.43902439,2.43902439,1.219512195,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_016700215.2,birds,41,379,17,11647.6,12851,732,17329,2,12,25,0,1,0,1,1,11,2,23,0,0,16700215,2,14,41,4.87804878,29.26829268,34.14634146,20.73170732,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_017976375.1,birds,41,219,26,6093.54,4511,1641,17221,1,23,16,0,1,0,0,4,19,0,16,0,0,17976375,1,24,41,2.43902439,56.09756098,58.53658537,31.70731707,CLR,Birds,CLR II,8283.715384615385,7730.0
GCF_023343835.1,birds,41,186,29,9724.14,7805,707,40954,5,19,17,1,4,0,0,3,16,4,13,0,0,23343835,1,24,40,12.5,47.5,60,36.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_026979565.1,birds,41,418,8,8191.62,7138,5077,18080,1,7,33,0,0,0,1,0,7,1,32,0,0,26979565,1,8,41,2.43902439,17.07317073,19.51219512,9.756097561,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_028389875.1,birds,41,126,33,6337.67,5456,1067,18180,2,29,10,0,2,0,0,8,21,1,9,0,0,28389875,1,31,40,5,72.5,77.5,41.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_028858705.1,birds,41,174,8,9532.5,2815,951,27310,2,4,35,0,2,0,0,0,4,5,30,0,0,28858705,1,6,40,5,10,15,10,CLR,Birds,CLR II,8283.715384615385,7730.0
GCF_036013475.1,birds,41,224,31,10024.2,10170,3196,19316,6,22,13,0,2,1,3,7,15,5,8,0,0,36013475,1,28,41,14.63414634,53.65853659,68.29268293,37.80487805,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_036370855.1,birds,41,127,34,4726.44,4836,955,10820,6,22,13,1,5,0,0,5,17,4,9,0,0,36370855,1,28,41,14.63414634,53.65853659,68.29268293,41.46341463,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_040182565.1,birds,41,42,29,4659.17,4498,777,10908,12,11,18,5,1,4,2,8,3,15,3,0,0,40182565,1,23,40,30,27.5,57.5,36.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_040807025.1,birds,41,114,45,6571.07,6386,531,14271,13,20,8,0,12,0,1,6,14,1,7,0,0,40807025,1,33,41,31.70731707,48.7804878,80.48780488,54.87804878,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964263955.1,fish,41,5519,14,7864.43,8868,1267,13390,7,5,28,0,1,0,6,0,5,1,27,0,0,964263955,1,12,40,17.5,12.5,30,17.5,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_031878675.1,mammals,41,570,28,10851.9,10205,1994,27648,7,18,16,0,3,0,4,0,18,2,14,0,0,31878675,1,25,40,17.5,45,62.5,35,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_905319855.2,mammals,41,166,41,4604.56,4449,739,10525,10,21,10,0,10,0,0,5,16,2,8,0,0,905319855,2,31,40,25,52.5,77.5,51.25,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_036010785.1,birds,40,333,45,6864.91,6746,3090,13945,9,27,4,1,8,0,0,4,23,1,3,0,0,36010785,1,36,39,23.07692308,69.23076923,92.30769231,57.69230769,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_039906565.1,birds,40,403,28,5486.39,4798,1051,10838,1,26,13,0,1,0,0,0,26,1,12,0,0,39906565,1,27,39,2.564102564,66.66666667,69.23076923,35.8974359,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_046129655.1,birds,40,364,34,6693.06,6433,3453,12173,11,15,14,0,5,0,6,1,14,2,12,0,0,46129655,1,26,39,28.20512821,38.46153846,66.66666667,43.58974359,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_046129695.1,birds,40,176,45,8679.87,5671,570,49984,15,16,7,1,8,0,6,0,16,1,6,0,0,46129695,1,31,40,37.5,40,77.5,56.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_951394365.1,birds,40,963,15,4550.8,3789,595,11262,0,15,25,0,0,0,0,1,14,1,24,0,0,951394365,1,15,39,0,38.46153846,38.46153846,19.23076923,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_027887145.1,birds,40,354,25,6036.68,6304,1836,12621,5,15,20,0,5,0,0,0,15,0,20,0,0,27887145,1,20,40,12.5,37.5,50,31.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_036013445.1,birds,40,106,21,6762.14,7080,619,10079,3,15,22,0,2,0,1,5,10,11,11,0,0,36013445,1,18,40,7.5,37.5,45,26.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_036417665.1,birds,40,192,31,10643.5,9601,2806,21261,6,22,12,0,3,0,3,2,20,2,10,0,0,36417665,1,28,39,15.38461538,56.41025641,71.79487179,39.74358974,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_929443795.1,birds,40,183,21,8128.81,8430,3358,11376,1,19,20,0,0,0,1,2,17,5,15,0,0,929443795,1,20,40,2.5,47.5,50,26.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_901001165.2,fish,40,2954,12,2522.83,2178,527,6754,3,8,28,0,0,0,3,0,8,0,28,0,0,901001165,2,11,40,7.5,20,27.5,15,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCF_048164855.1,mammals,40,161,29,4771.41,3952,781,9828,6,17,17,0,6,0,0,2,15,1,16,0,0,48164855,1,23,40,15,42.5,57.5,36.25,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_035084275.1,sharks,40,1902,21,9002.52,8871,5032,13342,11,10,19,0,0,0,11,0,10,0,19,0,0,35084275,1,21,40,27.5,25,52.5,26.25,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCA_964194155.1,sharks,40,2721,8,5048.12,4853,1245,10426,1,6,33,0,0,0,1,0,6,1,32,0,0,964194155,1,7,39,2.564102564,15.38461538,17.94871795,10.25641026,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCA_016904835.1,birds,39,142,3,2344,2342,1313,3377,1,2,36,0,0,1,0,0,2,3,33,0,0,16904835,1,3,38,2.631578947,5.263157895,7.894736842,3.947368421,CLR,Birds,CLR,8283.715384615385,7730.0
GCA_017639485.1,birds,39,251,2,7825.5,7825,1419,14232,0,2,37,0,0,0,0,1,1,3,34,0,0,17639485,1,2,38,0,5.263157895,5.263157895,2.631578947,CLR,Birds,CLR II,8283.715384615385,7730.0
GCA_027559615.1,birds,39,410,15,8096.87,8092,1686,15722,1,13,25,0,1,0,0,0,13,2,23,0,0,27559615,1,14,38,2.631578947,34.21052632,36.84210526,19.73684211,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_036417535.1,birds,39,99,8,6764.75,6934,1575,12144,2,6,31,0,0,0,2,1,5,10,21,0,0,36417535,1,8,38,5.263157895,15.78947368,21.05263158,10.52631579,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964237585.1,birds,39,576,24,3798,3305,528,9417,4,17,18,0,3,0,1,0,17,2,16,0,0,964237585,1,21,38,10.52631579,44.73684211,55.26315789,31.57894737,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_015227805.1,birds,39,942,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,38,0,0,15227805,1,0,41,0,0,0,0,CLR,Birds,CLR I,,
GCF_963662255.1,birds,39,657,13,10087.3,9195,1755,19937,1,11,27,0,1,0,0,0,11,0,27,0,0,963662255,1,12,39,2.564102564,28.20512821,30.76923077,16.66666667,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_963932015.1,birds,39,624,24,6293.96,6021,3825,9455,2,21,16,0,1,0,1,0,21,1,15,0,0,963932015,1,23,39,5.128205128,53.84615385,58.97435897,30.76923077,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_040955705.1,mammals,39,90,45,11516.2,11448,3099,19122,12,21,6,3,9,0,0,3,18,2,4,0,0,40955705,1,33,39,30.76923077,53.84615385,84.61538462,57.69230769,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_011100685.1,mammals,39,367,7,5388.43,3659,515,13381,0,4,32,0,0,0,0,0,4,0,32,0,0,11100685,1,4,39,0,10.25641026,10.25641026,8.974358974,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCA_011004875.1,birds,38,128,5,3197.8,2977,867,5376,0,5,33,0,0,0,0,1,4,6,27,0,0,11004875,1,5,37,0,13.51351351,13.51351351,6.756756757,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_965183815.1,birds,38,689,31,6311.55,6617,1633,11336,7,17,14,0,7,0,0,1,16,1,13,0,0,965183815,1,24,37,18.91891892,45.94594595,64.86486486,41.89189189,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_013368605.1,birds,38,170,4,6581,6906,3231,9281,0,4,34,0,0,0,0,1,3,4,30,0,0,13368605,1,4,38,0,10.52631579,10.52631579,5.263157895,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_020745825.1,birds,38,74,26,8190.69,9712,623,17662,4,19,15,3,0,0,1,8,11,7,8,0,0,20745825,1,23,37,10.81081081,51.35135135,62.16216216,35.13513514,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_949987555.1,fish,38,2487,23,6240.04,5776,505,18712,7,13,18,0,3,0,4,0,13,1,17,0,0,949987555,1,20,37,18.91891892,35.13513514,54.05405405,31.08108108,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_036321535.1,mammals,38,195,29,11673.1,12748,542,21729,3,23,12,0,2,0,1,3,20,0,12,0,0,36321535,1,26,38,7.894736842,60.52631579,68.42105263,38.15789474,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_009769525.1,birds,37,220,1,2827,2827,2827,2827,0,1,36,0,0,0,0,0,1,2,34,0,0,9769525,1,1,36,0,2.777777778,2.777777778,1.388888889,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_009819595.1,birds,37,246,0,0,0,0,0,0,0,37,0,0,0,0,0,0,3,34,0,0,9819595,1,0,36,0,0,0,0,CLR,Birds,CLR I,,
GCA_014839755.1,birds,37,98,3,6026.33,4608,4392,9079,0,3,34,0,0,0,0,0,3,11,23,0,0,14839755,1,3,37,0,8.108108108,8.108108108,4.054054054,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_027474245.1,birds,37,248,35,7876.37,7690,1802,16213,9,19,9,0,7,0,2,1,18,3,6,0,0,27474245,1,28,37,24.32432432,51.35135135,75.67567568,47.2972973,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_036873955.1,birds,37,319,13,11619.2,10482,6679,21033,4,7,26,0,2,0,2,1,6,8,18,0,0,36873955,1,11,36,11.11111111,19.44444444,30.55555556,18.05555556,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_907165065.1,birds,37,136,15,2931.2,2357,1093,7534,2,11,24,1,0,0,1,2,9,3,21,0,0,907165065,1,13,37,5.405405405,29.72972973,35.13513514,20.27027027,CLR,Birds,CLR II,8283.715384615385,7730.0
GCA_949628215.1,birds,37,219,14,8082.93,7688,1875,18362,2,10,25,0,2,0,0,0,10,4,21,0,0,949628215,1,12,36,5.555555556,27.77777778,33.33333333,19.44444444,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_009769625.2,birds,37,410,1,1733,1733,1733,1733,0,1,36,0,0,0,0,0,1,9,27,0,0,9769625,2,1,36,0,2.777777778,2.777777778,1.388888889,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_009819795.1,birds,37,143,12,7707.58,6981,739,18240,0,6,27,0,0,0,0,4,2,5,22,0,0,9819795,1,6,36,0,16.66666667,16.66666667,16.66666667,CLR,Birds,CLR,8283.715384615385,7730.0
GCF_027579445.1,birds,37,200,35,6550.83,6195,1174,14959,7,21,9,0,6,0,1,1,20,4,5,0,0,27579445,1,28,37,18.91891892,56.75675676,75.67567568,47.2972973,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_023637945.2,birds,36,128,3,1988.67,1009,750,4207,0,2,33,0,0,0,0,0,2,6,27,0,0,23637945,2,2,36,0,5.555555556,5.555555556,4.166666667,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_036971685.2,birds,36,51,36,9475.83,8820,2249,18044,5,27,4,1,2,0,2,19,8,3,1,0,0,36971685,2,32,36,13.88888889,75,88.88888889,50,HiFi,Birds,,8283.715384615385,7730.0
